S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
258,2024-01-18,330.0,340.0,318.0,339.0,2.73,38125.00,12633010.70
257,2024-01-21,333.0,340.0,327.0,327.0,-3.54,34300.00,11392519.60
256,2024-01-22,321.0,332.5,316.1,320.0,-2.14,32124.00,10308153.70
255,2024-01-23,326.0,326.4,315.0,316.0,-1.25,23863.00,7601771.80
254,2024-01-24,318.0,329.0,312.0,316.0,0.0,24390.00,7792031.80
253,2024-01-25,313.2,322.3,312.0,313.6,-0.76,21309.00,6742837.80
252,2024-01-28,319.8,320.0,312.0,314.9,0.41,10254.00,3234547.90
251,2024-01-29,321.1,327.4,316.1,318.0,0.98,18492.00,5896889.90
250,2024-01-30,324.0,324.0,318.0,318.9,0.28,17777.00,5683139.50
249,2024-01-31,320.0,323.9,316.0,316.0,-0.91,22545.00,7186653.00
248,2024-02-01,313.1,319.3,310.0,310.0,-1.9,15897.00,4954944.30
247,2024-02-04,310.0,315.9,310.0,312.0,0.65,11628.00,3622699.40
246,2024-02-05,315.0,318.1,311.0,313.0,0.32,11840.00,3710786.90
245,2024-02-06,316.9,316.9,310.6,314.1,0.35,10446.00,3274627.40
244,2024-02-07,312.1,318.0,312.0,315.1,0.32,5100.00,1603354.20
243,2024-02-08,317.0,317.1,314.0,315.9,0.25,10216.00,3229674.30
242,2024-02-11,316.0,325.0,314.0,317.5,0.51,18770.00,5994865.20
241,2024-02-12,323.5,323.8,316.0,318.0,0.16,9308.00,2957436.90
240,2024-02-13,315.0,318.0,310.1,311.5,-2.04,11869.00,3717936.30
239,2024-02-14,306.4,315.0,306.4,310.0,-0.48,8580.00,2669852.80
238,2024-02-15,310.0,314.5,310.0,311.3,0.42,12369.00,3861492.40
237,2024-02-18,311.3,315.0,307.0,307.5,-1.22,19573.00,6049973.40
236,2024-02-20,308.0,309.0,303.0,308.3,0.26,8110.00,2494496.30
235,2024-02-21,308.3,321.0,308.1,308.8,0.16,13813.00,4263103.30
234,2024-02-22,306.1,310.0,303.1,304.0,-1.55,19794.00,6041080.50
233,2024-02-25,310.0,316.0,300.3,300.5,-1.15,11107.00,3376161.10
232,2024-02-26,306.5,312.0,301.2,302.0,0.5,8876.00,2688809.20
231,2024-02-27,299.0,307.9,299.0,303.8,0.6,6358.00,1930379.40
230,2024-02-28,309.0,309.0,302.9,303.7,-0.03,2971.00,904153.20
