Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
3/15/2022,780.00,781.00,770.00,772.00,-0.77,50282.00,38972617.40,41.43,18.63
3/14/2022,785.00,789.00,770.00,778.00,-0.51,29363.00,22858634.10,41.43,18.78
3/13/2022,769.00,790.00,758.00,782.00,3.17,93422.00,72246417.70,41.43,18.88
3/10/2022,760.00,762.00,747.00,758.00,-0.26,165638.00,124611575.70,41.43,18.30
3/9/2022,785.00,785.00,750.00,760.00,-1.81,138776.00,104851922.10,41.43,18.34
3/7/2022,770.00,774.90,747.00,774.00,0.78,138577.00,105027582.70,41.43,18.68
3/6/2022,777.20,785.00,755.00,768.00,0.79,36346.00,27808137.40,41.43,18.54
3/2/2022,770.00,775.00,760.00,762.00,-1.42,76482.00,58353262.40,41.43,18.39
2/28/2022,798.00,798.00,771.00,773.00,-1.28,55256.00,42992657.90,41.43,18.66
2/27/2022,790.00,800.00,777.70,783.00,-0.89,94586.00,74506582.60,41.43,18.90
2/24/2022,804.00,804.00,785.00,790.00,-1.74,62153.00,49201909.50,41.43,19.07
2/23/2022,810.00,810.00,801.00,804.00,-0.50,26347.00,21165563.70,41.43,19.41
2/22/2022,806.00,815.00,802.00,808.00,0.24,37501.00,30314745.80,41.43,19.50
2/21/2022,808.00,810.00,798.00,806.10,0.37,30102.00,24132081.90,41.43,19.46
2/20/2022,799.70,812.00,790.00,803.10,-1.58,58816.00,47104309.40,41.43,19.38
2/17/2022,805.00,816.00,804.00,816.00,1.12,55936.00,45273568.40,41.43,19.70
2/16/2022,806.00,815.00,803.00,807.00,0.25,43171.00,34835752.90,41.43,19.48
2/15/2022,805.00,810.00,802.00,805.00,0.00,45673.00,36821646.30,41.43,19.43
2/14/2022,811.00,814.00,798.00,805.00,-0.25,65371.00,52459382.00,41.43,19.43
2/13/2022,802.00,811.00,789.00,807.00,-1.34,180844.00,144338091.70,41.43,19.48
2/10/2022,830.00,839.00,814.00,818.00,-1.21,95660.00,78333501.40,41.43,19.74
2/9/2022,840.00,840.00,821.00,828.00,-1.08,87317.00,72331456.20,41.43,19.99
2/8/2022,855.00,872.00,826.00,837.00,-0.71,86778.00,72856295.00,41.43,20.20
2/7/2022,853.00,858.00,839.00,843.00,-1.17,59770.00,50503450.30,41.43,20.35
2/6/2022,856.00,860.00,845.00,853.00,-0.86,72123.00,61459588.40,41.43,20.59
2/3/2022,870.00,877.00,860.00,860.40,-1.10,150826.00,130653042.50,41.43,20.77
2/1/2022,875.00,883.00,865.00,870.00,-0.23,58118.00,50707160.60,41.43,21.00
1/31/2022,890.00,890.00,870.10,872.00,-1.25,65157.00,57041932.30,41.43,21.05
1/30/2022,876.70,888.00,872.00,883.00,2.72,99204.00,87055768.70,41.43,21.31
1/27/2022,861.00,869.90,856.00,859.60,-0.05,56260.00,48363360.90,41.43,20.75
1/26/2022,868.00,873.00,856.00,860.00,-0.81,109049.00,93917145.70,41.43,20.76
1/25/2022,850.00,883.00,845.20,867.00,0.09,227148.00,196874184.10,41.43,20.93
1/24/2022,900.00,900.00,866.00,866.20,-4.08,419335.00,367364527.50,41.43,20.91
1/23/2022,935.00,935.30,899.00,903.00,-1.53,191997.00,175263196.50,41.43,21.80
1/20/2022,912.00,920.00,901.60,917.00,0.55,116652.00,106404141.50,41.43,22.13
1/19/2022,932.20,932.20,910.00,912.00,-0.22,145505.00,133370636.50,41.43,22.01
1/18/2022,900.00,927.00,899.00,914.00,1.78,207182.00,190108363.60,41.43,22.06
1/17/2022,918.00,918.00,893.00,898.00,-0.22,111345.00,100031851.40,41.43,21.68
1/16/2022,895.00,912.00,882.00,900.00,2.21,137916.00,123808949.30,41.43,21.72
1/13/2022,868.00,890.00,861.00,880.50,1.67,94487.00,83119715.40,39.65,22.21
1/12/2022,870.00,889.50,863.00,866.00,0.17,170915.00,149127990.50,39.65,21.84
1/11/2022,870.00,872.00,855.00,864.50,0.52,83864.00,72545031.10,39.65,21.80
1/10/2022,870.00,879.00,852.00,860.00,-0.82,160045.00,138215461.90,39.65,21.69
1/9/2022,854.70,871.00,850.00,867.10,3.47,162594.00,139935027.20,39.65,21.87
1/6/2022,782.00,839.00,782.00,838.00,5.41,178781.00,145219148.40,39.65,21.13
1/5/2022,819.90,819.90,792.00,795.00,-1.58,78208.00,62536250.30,39.65,20.05
1/4/2022,790.00,813.70,772.00,807.80,3.04,79587.00,63193949.70,39.65,20.37
1/3/2022,769.00,788.40,765.00,784.00,1.95,78276.00,61074703.90,39.65,19.77
1/2/2022,754.80,773.00,730.00,769.00,3.92,73533.00,55902252.30,39.65,19.39
12/29/2021,726.10,744.00,725.00,740.00,0.27,77201.00,56817535.00,39.65,18.66
12/28/2021,740.00,747.00,730.00,738.00,-0.81,43607.00,32180061.80,39.65,18.61
12/27/2021,770.00,774.00,744.00,744.00,-3.36,65018.00,49019615.40,39.65,18.76
12/26/2021,765.00,775.00,760.00,769.90,1.30,70760.00,54269788.70,39.65,19.42
