S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
390,2023-06-18,570.0,591.0,564.0,588.0,4.42,109159.00,63473803.60
389,2023-06-19,586.0,594.0,576.3,581.0,-1.19,62490.00,36438603.20
388,2023-06-20,580.0,584.5,566.0,566.0,-2.58,74305.00,42643556.90
387,2023-06-21,567.1,574.0,564.0,567.5,0.27,60110.00,34142935.00
386,2023-06-22,566.0,570.9,556.2,565.0,-0.44,59663.00,33594936.00
385,2023-06-25,563.1,575.4,560.0,571.5,1.15,70405.00,39984703.50
384,2023-06-26,580.0,594.0,564.0,573.0,0.26,88445.00,51261361.10
383,2023-06-27,574.0,580.0,562.0,574.1,0.19,63056.00,36004921.20
382,2023-06-28,576.0,584.6,560.0,563.0,-1.93,61798.00,35055861.30
381,2023-07-02,556.0,562.0,540.0,545.0,-3.2,74375.00,40900655.90
380,2023-07-03,536.0,551.0,536.0,538.1,-1.27,49316.00,26790479.80
379,2023-07-04,531.0,542.0,531.0,535.0,-0.58,30538.00,16357914.50
378,2023-07-05,540.0,556.6,524.0,524.0,-2.06,51427.00,27525304.30
377,2023-07-06,526.1,547.0,526.0,541.0,3.24,38970.00,20898877.30
376,2023-07-09,548.9,553.0,542.5,546.0,0.92,25452.00,13929562.90
375,2023-07-10,542.1,548.0,535.0,535.2,-1.98,38133.00,20608685.00
374,2023-07-11,533.1,535.0,526.1,530.0,-0.97,35626.00,18815156.00
373,2023-07-12,521.0,544.0,519.4,540.0,1.89,42745.00,22972068.30
372,2023-07-13,549.0,552.0,536.0,538.0,-0.37,137437.00,75090985.00
371,2023-07-16,548.0,548.0,528.1,536.7,-0.24,22932.00,12267132.20
370,2023-07-17,538.0,546.0,530.1,543.0,1.17,19305.00,10433964.30
369,2023-07-18,553.0,553.0,539.0,540.0,-0.55,29745.00,16235104.50
368,2023-07-19,540.0,547.5,535.1,538.1,-0.35,19108.00,10332823.90
367,2023-07-20,548.0,554.9,535.0,542.0,0.72,43407.00,23507522.50
366,2023-07-23,552.8,563.0,536.0,555.0,2.4,43051.00,23625435.90
365,2023-07-24,555.0,557.8,545.1,547.8,-1.3,38575.00,21255253.40
364,2023-07-25,545.0,548.5,535.0,540.0,-1.42,40474.00,21861106.80
363,2023-07-26,535.0,544.0,531.0,532.0,-1.48,28885.00,15452368.60
362,2023-07-27,534.0,538.0,529.8,531.0,-0.19,38875.00,20698170.60
361,2023-07-30,530.0,530.0,517.7,520.0,-2.07,43470.00,22690984.30
360,2023-07-31,528.0,528.0,514.0,514.1,-1.13,34789.00,18068190.20
359,2023-08-01,524.0,524.0,505.2,508.0,-1.19,34134.00,17423925.80
358,2023-08-02,515.0,516.0,501.0,507.0,-0.2,27099.00,13694808.30
357,2023-08-03,500.0,518.9,500.0,506.0,-0.2,28979.00,14832714.50
356,2023-08-06,516.1,526.0,489.1,493.7,-2.43,59731.00,29602960.60
355,2023-08-07,483.9,514.0,483.9,495.2,0.3,31260.00,15541837.70
354,2023-08-08,490.0,498.0,488.1,488.2,-1.41,33028.00,16213879.70
353,2023-08-09,496.1,525.4,485.0,510.0,4.47,32245.00,16118368.10
352,2023-08-10,501.0,520.8,500.0,515.0,0.98,38480.00,19817807.10
351,2023-08-13,515.0,523.8,510.0,523.0,1.55,65004.00,33479619.80
350,2023-08-14,518.0,519.0,506.0,507.0,-3.06,39336.00,20095317.20
349,2023-08-15,510.0,510.0,492.0,495.9,-2.19,31781.00,15920765.90
348,2023-08-16,491.2,501.0,491.1,493.0,-0.58,24919.00,12350078.70
347,2023-08-17,493.0,502.8,493.0,499.5,1.32,21422.00,10682839.30
346,2023-08-20,500.0,500.0,486.0,487.8,-2.34,30310.00,14782381.80
345,2023-08-21,485.0,488.1,479.2,479.2,-1.76,34715.00,16750069.20
344,2023-08-22,480.0,487.4,477.1,486.0,1.42,22682.00,10946950.80
343,2023-08-23,483.2,502.0,483.1,497.4,2.35,18183.00,8997260.90
342,2023-08-24,504.0,504.0,491.1,492.0,-1.09,20947.00,10375211.50
341,2023-08-27,491.0,491.0,480.2,481.0,-2.24,21779.00,10563765.20
340,2023-08-28,481.0,485.0,480.0,481.4,0.08,15738.00,7582342.90
339,2023-08-29,481.0,486.0,477.1,480.0,-0.29,11106.00,5334712.50
338,2023-08-30,482.0,484.0,478.3,481.9,0.4,8689.00,4182757.40
337,2023-09-03,476.1,482.9,473.3,474.0,-1.64,18174.00,8649428.80
336,2023-09-04,471.0,487.0,470.0,479.0,1.05,15989.00,7589350.90
335,2023-09-05,478.0,479.5,471.0,476.0,-0.63,7621.00,3619102.50
334,2023-09-07,469.3,478.6,469.1,469.4,-1.39,29344.00,13804595.50
333,2023-09-10,470.0,474.0,467.3,472.0,0.55,21714.00,10212934.20
332,2023-09-11,475.0,489.9,472.0,483.0,2.33,109789.00,52380014.50
331,2023-09-12,480.3,489.9,477.0,480.0,-0.62,16445.00,7904587.60
330,2023-09-13,480.0,490.0,475.1,489.9,2.06,22541.00,10915994.90
329,2023-09-17,483.1,493.0,476.2,480.1,-2.0,24819.00,12008925.10
328,2023-09-18,485.0,485.0,475.0,480.0,-0.02,7749.00,3709043.70
327,2023-09-19,486.0,486.9,477.0,485.5,1.15,8063.00,3885556.00
326,2023-09-21,495.0,506.0,493.2,499.9,2.97,63366.00,31688518.70
325,2023-09-24,509.8,509.8,490.4,495.0,-0.98,19230.00,9568196.50
324,2023-09-25,499.0,499.0,487.1,492.0,-0.61,15301.00,7549039.40
323,2023-09-26,495.0,507.0,495.0,507.0,3.05,23074.00,11592168.40
322,2023-09-27,502.0,505.0,495.0,503.0,-0.79,23103.00,11530238.40
321,2023-10-01,496.0,501.9,495.0,495.1,-1.57,26038.00,12928765.60
320,2023-10-02,495.0,505.0,489.0,496.5,0.28,17971.00,8899510.90
319,2023-10-03,496.6,498.9,488.0,490.0,-1.31,20875.00,10266795.50
318,2023-10-04,493.0,495.0,482.5,487.0,-0.61,34402.00,16758119.70
317,2023-10-05,489.0,490.8,481.0,487.9,0.18,12034.00,5815123.00
316,2023-10-08,488.0,488.0,472.6,473.3,-2.99,26961.00,12891153.50
315,2023-10-09,470.0,477.0,468.0,472.0,-0.27,11579.00,5450550.70
314,2023-10-10,481.0,481.0,465.0,466.0,-1.27,12395.00,5829570.10
313,2023-10-11,466.0,478.0,466.0,467.5,0.32,9071.00,4266176.30
312,2023-10-12,467.0,475.8,462.5,468.0,0.11,22325.00,10406962.70
311,2023-10-16,461.1,469.0,460.0,469.0,0.21,9668.00,4460953.20
310,2023-10-17,475.0,475.0,465.0,472.0,0.64,5650.00,2654686.30
309,2023-10-18,472.3,485.0,471.0,484.7,2.69,8814.00,4218246.90
308,2023-10-19,476.0,488.9,476.0,481.0,-0.76,6690.00,3221282.00
307,2023-10-29,481.0,481.0,471.0,472.0,-1.87,6037.00,2853849.90
306,2023-10-30,462.8,472.0,462.8,468.0,-0.85,10362.00,4834334.10
305,2023-10-31,461.0,476.0,458.9,469.0,0.21,5374.00,2508343.20
304,2023-11-01,470.0,471.9,465.2,465.2,-0.81,8862.00,4139550.80
303,2023-11-02,465.0,469.0,463.0,464.0,-0.26,6678.00,3102685.70
302,2023-11-05,463.5,463.9,455.0,457.0,-1.51,11398.00,5228201.60
301,2023-11-06,455.0,467.0,455.0,464.0,1.53,12958.00,5992067.90
300,2023-11-07,464.0,470.0,461.2,465.0,0.22,11418.00,5304725.90
299,2023-11-08,465.0,468.0,461.5,465.0,0.0,5402.00,2503976.80
298,2023-11-09,460.5,469.0,460.3,466.0,0.22,11637.00,5405472.70
297,2023-11-20,470.0,475.0,466.1,470.0,0.86,16499.00,7781320.90
296,2023-11-21,479.4,479.4,462.1,469.8,-0.04,9891.00,4610813.60
295,2023-11-22,462.0,473.0,461.1,470.2,0.09,9481.00,4448807.70
294,2023-11-23,470.2,483.0,466.0,476.4,1.32,15112.00,7209661.60
293,2023-11-26,485.0,490.0,479.0,489.9,2.83,17654.00,8580305.30
292,2023-11-27,499.0,499.0,480.0,480.3,-1.96,10444.00,5083988.40
291,2023-11-28,473.5,484.9,473.5,481.0,0.15,6772.00,3244488.00
290,2023-11-29,488.0,488.0,475.9,476.5,-0.94,8678.00,4175235.80
289,2023-11-30,467.0,482.0,467.0,478.1,0.34,6689.00,3198013.30
288,2023-12-03,475.0,478.0,475.0,477.0,-0.23,11884.00,5650407.50
287,2023-12-04,474.0,477.0,470.0,473.2,-0.8,13263.00,6269723.60
286,2023-12-05,477.0,480.0,465.0,480.0,1.44,15972.00,7541611.90
285,2023-12-06,480.0,489.6,471.0,472.3,-1.6,6098.00,2891106.20
284,2023-12-07,472.3,482.0,467.0,479.0,1.42,30587.00,14550340.20
283,2023-12-10,488.5,526.0,488.5,526.0,9.81,8159.00,4229340.00
282,2023-12-11,536.0,536.0,505.1,515.0,-2.09,102458.00,53030907.00
281,2023-12-12,516.0,540.0,516.0,536.0,4.08,125905.00,66887802.90
280,2023-12-13,536.0,544.0,528.0,531.9,-0.76,54870.00,29368542.40
279,2023-12-14,531.0,544.0,522.1,535.0,0.58,47404.00,25283335.00
278,2023-12-17,524.3,566.0,524.3,562.3,5.1,97214.00,53634588.00
277,2023-12-18,570.0,580.0,553.3,560.0,-0.41,138093.00,77813906.30
276,2023-12-19,562.0,571.2,553.0,558.0,-0.36,86246.00,48144151.20
275,2023-12-20,569.0,580.0,555.8,567.0,1.61,136576.00,77606323.30
274,2023-12-21,568.0,577.0,562.0,571.8,0.85,199493.00,113425561.20
273,2023-12-24,530.2,530.2,510.0,513.0,-1.31,57113.00,29566431.10
272,2023-12-27,503.0,533.0,499.7,503.0,-1.95,56394.00,28479016.90
271,2023-12-28,500.2,501.0,495.0,499.6,-0.68,46986.00,23357583.00
270,2024-01-01,493.0,502.5,486.0,486.0,-2.72,57023.00,28078865.10
269,2024-01-02,483.0,489.0,478.2,483.3,-0.56,34724.00,16760284.90
268,2024-01-03,484.0,492.0,475.2,484.0,0.14,36358.00,17451258.00
267,2024-01-04,493.0,508.0,487.0,499.0,3.1,67904.00,33979972.00
266,2024-01-07,508.9,510.0,497.1,500.0,0.2,52463.00,26361101.80
265,2024-01-08,505.0,506.2,496.1,502.0,0.4,53954.00,27055083.20
264,2024-01-09,508.0,515.0,502.2,506.0,0.8,80798.00,41075328.30
263,2024-01-10,496.1,516.0,496.1,504.0,-0.4,35552.00,18051140.10
262,2024-01-11,494.0,505.5,494.0,499.0,-0.99,25301.00,12691128.50
261,2024-01-14,508.9,520.0,501.0,519.0,4.01,57116.00,29347251.20
260,2024-01-16,525.0,529.9,516.1,525.0,1.16,54668.00,28620897.40
259,2024-01-17,526.1,529.9,509.9,513.8,-2.13,74796.00,38870413.40
258,2024-01-18,510.0,516.0,503.7,508.5,-1.03,54657.00,27819821.20
257,2024-01-21,508.0,517.0,503.9,512.0,0.69,70284.00,35892461.70
256,2024-01-22,504.1,509.0,501.9,503.0,-1.76,24339.00,12277853.60
255,2024-01-23,504.0,504.0,497.5,498.0,-0.99,31777.00,15864299.40
254,2024-01-24,507.9,507.9,496.0,496.9,-0.22,19991.00,9965594.50
253,2024-01-25,496.0,497.0,490.0,491.0,-1.19,47480.00,23436846.90
252,2024-01-28,490.0,495.0,488.0,494.0,0.61,19305.00,9477453.10
251,2024-01-29,495.0,500.0,490.0,493.9,-0.02,27902.00,13762250.10
250,2024-01-30,500.1,501.8,492.0,498.0,0.83,26107.00,13008841.80
249,2024-01-31,498.0,508.0,491.0,493.6,-0.88,24402.00,12112099.70
248,2024-02-01,494.0,494.0,488.1,491.0,-0.53,15458.00,7577117.30
247,2024-02-04,485.1,491.0,483.0,487.1,-0.79,19956.00,9734562.80
